my build
found 151.15s of metadata, from 151 payloads, within /Users/jason/Desktop/GOPR0063.MP4
Now parsing gyro.
MP4 Payload time 0.000 to 1.001 seconds
0.044, 0.016, 0.000, 
0.055, 0.022, 0.015, 
0.052, 0.011, 0.021, 
0.033, 0.009, 0.022, 
0.017, 0.008, -0.001, 
0.001, 0.030, -0.004, 
0.008, 0.036, 0.002, 
0.004, 0.063, -0.008, 
-0.012, 0.051, -0.020, 
-0.021, 0.045, -0.028, 
-0.046, 0.035, -0.038, 
-0.051, 0.028, -0.042, 
-0.061, 0.012, -0.041, 
-0.052, 0.016, -0.030, 
-0.037, 0.026, -0.021, 
-0.015, 0.019, -0.001, 
0.010, 0.017, 0.002, 
0.034, 0.023, 0.004, 
0.058, 0.028, 0.023, 
0.070, 0.037, 0.028, 
0.059, 0.048, 0.019, 
0.027, 0.036, 0.003, 
-0.002, 0.025, -0.014, 
-0.041, 0.026, -0.036, 
-0.049, 0.042, -0.039, 
-0.048, 0.038, -0.034, 
-0.024, 0.032, -0.010, 
-0.017, 0.022, -0.006, 
-0.007, 0.011, -0.014, 
0.006, 0.014, -0.017, 
0.008, 0.024, -0.029, 
0.013, 0.023, -0.037, 
-0.030, 0.027, -0.033, 
-0.042, 0.027, -0.027, 
-0.053, 0.030, -0.019, 
-0.049, 0.038, -0.018, 
-0.029, 0.044, 0.000, 
0.017, 0.051, 0.027, 
0.059, 0.028, 0.044, 
0.099, 0.032, 0.047, 
0.096, 0.012, 0.023, 
0.079, 0.022, 0.003, 
0.041, 0.022, -0.023, 
0.018, 0.035, -0.047, 
-0.008, 0.030, -0.079, 
-0.039, 0.028, -0.093, 
-0.077, 0.027, -0.082, 
-0.125, 0.040, -0.057, 
-0.112, 0.046, -0.013, 
-0.037, 0.062, 0.012, 
0.022, 0.050, -0.002, 
0.092, 0.034, 0.023, 
0.102, 0.011, 0.046, 
0.092, 0.010, 0.020, 
0.054, 0.018, 0.006, 
0.002, 0.028, -0.029, 
-0.027, 0.015, -0.054, 
-0.047, 0.010, -0.064, 
-0.055, 0.001, -0.016, 
-0.033, 0.004, 0.022, 
0.014, 0.023, 0.043, 
0.054, 0.037, 0.040, 
0.091, 0.043, 0.023, 
0.092, 0.036, 0.009, 
0.064, 0.023, -0.017, 
0.027, 0.040, -0.054, 
-0.001, 0.038, -0.086, 
-0.044, 0.038, -0.112, 
-0.095, 0.042, -0.105, 
-0.142, 0.032, -0.072, 
-0.118, 0.039, 0.007, 
-0.052, 0.027, 0.048, 
0.014, 0.045, 0.030, 
0.071, 0.033, 0.043, 
0.133, 0.033, 0.071, 
0.107, 0.015, 0.023, 
0.083, 0.018, -0.012, 
0.023, 0.013, -0.015, 
-0.021, 0.011, -0.039, 
-0.025, 0.018, -0.062, 
-0.040, 0.016, -0.034, 
-0.044, 0.020, 0.012, 
-0.018, 0.012, 0.044, 
0.015, 0.039, 0.052, 
0.048, 0.048, 0.012, 
0.060, 0.041, -0.025, 
0.043, 0.032, -0.056, 
-0.011, 0.028, -0.072, 
-0.044, 0.030, -0.074, 
-0.089, 0.039, -0.082, 
-0.114, 0.040, -0.054, 
-0.069, 0.028, 0.018, 
-0.026, 0.026, 0.068, 
0.058, 0.018, 0.063, 
0.112, 0.016, 0.047, 
0.126, 0.015, 0.031, 
0.104, 0.023, -0.011, 
0.066, 0.035, -0.030, 
0.023, 0.027, -0.035, 
0.007, 0.022, -0.070, 
-0.032, 0.015, -0.096, 
-0.075, 0.036, -0.060, 
-0.080, 0.040, 0.007, 
-0.031, 0.042, 0.057, 
0.030, 0.051, 0.069, 
0.063, 0.040, 0.028, 
0.086, 0.024, 0.011, 
0.070, 0.015, -0.013, 
0.024, 0.010, -0.033, 
-0.017, 0.020, -0.049, 
-0.048, 0.023, -0.062, 
-0.072, 0.028, -0.055, 
-0.065, 0.025, 0.004, 
-0.025, 0.032, 0.065, 
0.036, 0.034, 0.068, 
0.089, 0.043, 0.037, 
0.104, 0.045, 0.006, 
0.075, 0.039, -0.039, 
0.022, 0.009, -0.054, 
-0.018, 0.000, -0.050, 
-0.038, -0.002, -0.058, 
-0.086, 0.024, -0.078, 
-0.112, 0.030, -0.051, 
-0.104, 0.028, 0.004, 
-0.047, 0.012, 0.047, 
0.012, 0.027, 0.047, 
0.061, 0.042, 0.026, 
0.089, 0.039, 0.024, 
0.049, 0.028, -0.017, 
0.003, 0.027, -0.035, 
-0.031, 0.026, -0.010, 
-0.046, 0.032, 0.006, 
-0.013, 0.044, 0.019, 
0.007, 0.030, 0.048, 
0.040, 0.027, 0.057, 
0.066, 0.024, 0.049, 
0.081, 0.036, 0.031, 
0.061, 0.018, -0.012, 
0.029, 0.016, -0.062, 
-0.011, 0.011, -0.085, 
-0.046, 0.005, -0.085, 
-0.081, 0.016, -0.090, 
-0.120, 0.045, -0.055, 
-0.094, 0.048, 0.002, 
-0.034, 0.038, 0.041, 
0.025, 0.042, 0.029, 
0.067, 0.043, 0.025, 
0.089, 0.033, 0.038, 
0.079, 0.014, 0.030, 
0.036, 0.023, -0.003, 
